date,bs,sh,ss
2018-04-01:01,66,71,73
2018-04-01:02,76,71,71
2018-04-01:03,72,69,70
2018-04-01:04,69,70,68
2018-04-01:05,65,67,73
2018-04-01:06,63,66,61
2018-04-01:07,71,69,70
2018-04-01:08,67,72,85
2018-04-01:09,82,77,117
2018-04-01:10,71,80,100
2018-04-01:11,64,78,86
2018-04-01:12,66,77,78
2018-04-01:13,68,79,84
2018-04-01:14,77,83,79
2018-04-01:15,102,93,94
2018-04-01:16,118,103,98
2018-04-01:17,115,104,114
2018-04-01:18,90,99,106
2018-04-01:19,92,92,82
2018-04-01:20,94,87,89
2018-04-01:21,86,84,90
2018-04-01:22,85,83,92
2018-04-01:23,82,82,84
2018-04-01:24,73,79,93
2018-04-02:01,98,78,89
2018-04-02:02,86,75,95
2018-04-02:03,,75,84
2018-04-02:04,76,74,83
2018-04-02:05,65,72,76
2018-04-02:06,62,68,66
2018-04-02:07,58,65,76
2018-04-02:08,57,65,81
2018-04-02:09,52,69,84
2018-04-02:10,61,68,86
2018-04-02:11,69,70,83
2018-04-02:12,70,71,83
2018-04-02:13,68,67,72
2018-04-02:14,71,66,83
2018-04-02:15,,68,79
2018-04-02:16,,69,88
2018-04-02:17,103,73,105
2018-04-02:18,102,80,108
2018-04-02:19,86,80,89
2018-04-02:20,74,76,78
2018-04-02:21,53,71,62
2018-04-02:22,52,63,49
2018-04-02:23,47,55,52
2018-04-02:24,52,51,52
2018-04-03:01,45,48,48
2018-04-03:02,54,47,46
2018-04-03:03,48,46,50
2018-04-03:04,46,45,46
2018-04-03:05,36,44,46
2018-04-03:06,48,44,43
2018-04-03:07,46,42,46
2018-04-03:08,51,42,50
2018-04-03:09,50,43,49
2018-04-03:10,44,44,58
2018-04-03:11,55,44,58
2018-04-03:12,62,48,
2018-04-03:13,60,54,
2018-04-03:14,99,,87
2018-04-03:15,102,73,94
2018-04-03:16,93,78,110
2018-04-03:17,113,85,122
2018-04-03:18,113,90,117
2018-04-03:19,108,93,103
2018-04-03:20,111,98,105
2018-04-03:21,91,98,97
2018-04-03:22,70,95,79
2018-04-03:23,48,76,55
2018-04-03:24,36,58,45
2018-04-04:01,34,52,44
2018-04-04:02,45,51,49
2018-04-04:03,50,51,48
2018-04-04:04,48,48,39
2018-04-04:05,21,40,32
2018-04-04:06,3,30,12
2018-04-04:07,6,25,10
2018-04-04:08,13,25,17
2018-04-04:09,31,25,24
2018-04-04:10,17,24,22
2018-04-04:11,19,26,41
2018-04-04:12,20,29,53
2018-04-04:13,7,25,43
2018-04-04:14,10,15,36
2018-04-04:15,7,10,60
2018-04-04:16,22,7,51
2018-04-04:17,12,7,38
2018-04-04:18,12,8,26
2018-04-04:19,13,10,29
2018-04-04:20,14,12,27
2018-04-04:21,9,11,18
2018-04-04:22,7,9,12
2018-04-04:23,5,6,15
2018-04-04:24,8,5,8
2018-04-05:01,4,3,6
2018-04-05:02,11,2,8
2018-04-05:03,8,6,11
2018-04-05:04,10,8,8
2018-04-05:05,7,8,7
2018-04-05:06,3,6,4
2018-04-05:07,3,5,2
2018-04-05:08,7,5,3
2018-04-05:09,3,4,4
2018-04-05:10,3,4,3
2018-04-05:11,8,3,4
2018-04-05:12,17,4,3
2018-04-05:13,13,8,11
2018-04-05:14,7,5,7
2018-04-05:15,4,6,5
2018-04-05:16,6,3,4
2018-04-05:17,6,3,4
2018-04-05:18,8,5,3
2018-04-05:19,9,5,6
2018-04-05:20,7,5,11
2018-04-05:21,5,5,8
2018-04-05:22,6,7,11
2018-04-05:23,4,6,10
2018-04-05:24,7,4,6
2018-04-06:01,4,3,6
2018-04-06:02,13,6,8
2018-04-06:03,13,10,6
2018-04-06:04,12,12,13
2018-04-06:05,7,12,9
2018-04-06:06,9,13,10
2018-04-06:07,10,14,11
2018-04-06:08,6,15,21
2018-04-06:09,8,17,17
2018-04-06:10,18,18,21
2018-04-06:11,70,29,46
2018-04-06:12,96,55,92
2018-04-06:13,152,80,102
2018-04-06:14,201,124,174
2018-04-06:15,258,174,199
2018-04-06:16,309,212,306
2018-04-06:17,209,231,251
2018-04-06:18,155,209,174
2018-04-06:19,141,178,138
2018-04-06:20,124,153,132
2018-04-06:21,90,130,98
2018-04-06:22,92,112,85
2018-04-06:23,83,104,73
2018-04-06:24,79,95,80
2018-04-07:01,73,88,68
2018-04-07:02,64,80,58
2018-04-07:03,61,72,65
2018-04-07:04,56,65,52
2018-04-07:05,64,61,62
2018-04-07:06,64,60,64
2018-04-07:07,77,63,72
2018-04-07:08,78,70,94
2018-04-07:09,76,74,106
2018-04-07:10,68,76,98
2018-04-07:11,77,74,92
2018-04-07:12,67,71,100
2018-04-07:13,58,66,71
2018-04-07:14,43,59,67
2018-04-07:15,42,51,61
2018-04-07:16,53,47,90
2018-04-07:17,45,43,64
2018-04-07:18,37,36,39
2018-04-07:19,26,32,34
2018-04-07:20,33,28,23
2018-04-07:21,23,26,26
2018-04-07:22,26,27,22
2018-04-07:23,31,28,24
2018-04-07:24,31,30,28
2018-04-08:01,44,31,27
2018-04-08:02,32,33,25
2018-04-08:03,30,33,25
2018-04-08:04,35,32,22
2018-04-08:05,30,31,23
2018-04-08:06,27,31,20
2018-04-08:07,33,31,24
2018-04-08:08,17,32,23
2018-04-08:09,24,31,32
2018-04-08:10,25,30,27
2018-04-08:11,24,26,21
2018-04-08:12,15,20,19
2018-04-08:13,22,18,12
2018-04-08:14,35,21,19
2018-04-08:15,31,23,28
2018-04-08:16,55,30,33
2018-04-08:17,64,41,48
2018-04-08:18,78,56,67
2018-04-08:19,80,66,69
2018-04-08:20,74,73,75
2018-04-08:21,64,74,66
2018-04-08:22,74,74,71
2018-04-08:23,87,76,78
2018-04-08:24,86,81,80
2018-04-09:01,93,88,85
2018-04-09:02,100,91,87
2018-04-09:03,96,95,87
2018-04-09:04,92,98,95
2018-04-09:05,66,95,73
2018-04-09:06,65,94,83
2018-04-09:07,61,92,90
2018-04-09:08,67,91,102
2018-04-09:09,61,89,109
2018-04-09:10,49,86,148
2018-04-09:11,44,81,109
2018-04-09:12,38,77,86
2018-04-09:13,31,67,79
2018-04-09:14,,57,65
2018-04-09:15,,51,
2018-04-09:16,24,,
2018-04-09:17,44,,67
2018-04-09:18,50,40,63
2018-04-09:19,45,39,70
2018-04-09:20,56,43,71
2018-04-09:21,58,53,69
2018-04-09:22,66,61,82
2018-04-09:23,77,65,75
2018-04-09:24,66,68,82
2018-04-10:01,89,67,64
2018-04-10:02,59,66,81
2018-04-10:03,54,65,60
2018-04-10:04,54,64,52
2018-04-10:05,47,59,55
2018-04-10:06,30,54,50
2018-04-10:07,33,50,38
2018-04-10:08,35,48,40
2018-04-10:09,27,46,45
2018-04-10:10,35,43,45
2018-04-10:11,46,43,59
2018-04-10:12,58,44,57
2018-04-10:13,88,42,50
2018-04-10:14,93,38,63
2018-04-10:15,69,37,48
2018-04-10:16,52,37,43
2018-04-10:17,50,37,48
2018-04-10:18,60,37,40
2018-04-10:19,44,38,38
2018-04-10:20,44,36,38
2018-04-10:21,38,32,25
2018-04-10:22,32,27,21
2018-04-10:23,40,27,30
2018-04-10:24,29,27,26
2018-04-11:01,38,23,23
2018-04-11:02,60,28,27
2018-04-11:03,54,40,47
2018-04-11:04,51,49,41
2018-04-11:05,64,56,53
2018-04-11:06,75,66,70
2018-04-11:07,85,78,82
2018-04-11:08,106,90,140
2018-04-11:09,113,105,157
2018-04-11:10,120,115,186
2018-04-11:11,78,108,131
2018-04-11:12,54,87,119
