date,bs,sh,ss
2018-04-23:01,54,44,44
2018-04-23:02,56,47,46
2018-04-23:03,46,49,40
2018-04-23:04,29,47,30
2018-04-23:05,29,67,33
2018-04-23:06,29,219,28
2018-04-23:07,25,189,23
2018-04-23:08,11,117,21
2018-04-23:09,14,65,17
2018-04-23:10,13,39,13
2018-04-23:11,9,24,10
2018-04-23:12,13,16,8
2018-04-23:13,7,9,7
2018-04-23:14,4,7,4
2018-04-23:15,6,,3
2018-04-23:16,4,,5
2018-04-23:17,12,8,
2018-04-23:18,8,4,4
2018-04-23:19,7,2,5
2018-04-23:20,5,2,9
2018-04-23:21,9,2,9
2018-04-23:22,5,2,9
2018-04-23:23,6,3,11
2018-04-23:24,5,4,9
2018-04-24:01,11,3,5
2018-04-24:02,4,3,8
2018-04-24:03,5,3,3
2018-04-24:04,7,2,2
2018-04-24:05,5,4,3
2018-04-24:06,10,6,3
2018-04-24:07,7,8,6
2018-04-24:08,18,9,14
2018-04-24:09,6,11,30
2018-04-24:10,10,10,23
2018-04-24:11,,8,
2018-04-24:12,,5,29
2018-04-24:13,10,5,21
2018-04-24:14,15,6,26
2018-04-24:15,9,8,41
2018-04-24:16,9,7,38
2018-04-24:17,13,8,28
2018-04-24:18,13,9,39
2018-04-24:19,10,8,42
2018-04-24:20,16,9,43
2018-04-24:21,15,11,38
2018-04-24:22,16,13,36
2018-04-24:23,27,16,51
2018-04-24:24,28,20,37
2018-04-25:01,31,21,27
2018-04-25:02,38,21,37
2018-04-25:03,27,21,28
2018-04-25:04,44,21,32
2018-04-25:05,25,23,37
2018-04-25:06,33,24,29
2018-04-25:07,26,24,32
2018-04-25:08,26,27,38
2018-04-25:09,38,34,87
2018-04-25:10,27,43,84
2018-04-25:11,26,42,66
2018-04-25:12,25,38,47
2018-04-25:13,29,34,47
2018-04-25:14,31,31,42
2018-04-25:15,32,32,51
2018-04-25:16,40,34,54
2018-04-25:17,50,39,62
2018-04-25:18,62,46,72
2018-04-25:19,56,55,95
2018-04-25:20,56,63,88
2018-04-25:21,56,66,78
2018-04-25:22,48,60,53
2018-04-25:23,52,52,45
2018-04-25:24,47,46,45
2018-04-26:01,74,44,55
2018-04-26:02,63,44,64
2018-04-26:03,71,42,56
2018-04-26:04,62,42,60
2018-04-26:05,55,42,55
2018-04-26:06,53,45,55
2018-04-26:07,47,50,47
2018-04-26:08,36,52,65
