date,백석동,성황동,성성동
2018-04-01:01,16,32,33
2018-04-01:02,20,32,41
2018-04-01:03,22,32,37
2018-04-01:04,23,33,37
2018-04-01:05,23,32,40
2018-04-01:06,23,31,36
2018-04-01:07,23,32,34
2018-04-01:08,23,33,38
2018-04-01:09,22,34,59
2018-04-01:10,21,36,51
2018-04-01:11,18,35,34
2018-04-01:12,16,34,32
2018-04-01:13,13,35,37
2018-04-01:14,8,34,38
2018-04-01:15,7,31,42
2018-04-01:16,9,28,39
2018-04-01:17,12,29,45
2018-04-01:18,13,31,41
2018-04-01:19,13,31,34
2018-04-01:20,15,29,34
2018-04-01:21,16,29,39
2018-04-01:22,14,28,40
2018-04-01:23,14,27,38
2018-04-01:24,13,27,44
2018-04-02:01,13,28,42
2018-04-02:02,17,27,47
2018-04-02:03,,28,42
2018-04-02:04,18,27,47
2018-04-02:05,20,25,40
2018-04-02:06,19,23,41
2018-04-02:07,17,21,36
2018-04-02:08,18,23,39
2018-04-02:09,17,24,40
2018-04-02:10,16,23,42
2018-04-02:11,16,23,33
2018-04-02:12,15,22,35
2018-04-02:13,14,21,27
2018-04-02:14,16,20,30
2018-04-02:15,,20,27
2018-04-02:16,,20,27
2018-04-02:17,1,22,27
2018-04-02:18,1,23,27
2018-04-02:19,1,21,25
2018-04-02:20,7,18,26
2018-04-02:21,5,15,19
2018-04-02:22,1,15,18
2018-04-02:23,2,15,16
2018-04-02:24,11,16,20
2018-04-03:01,22,18,20
2018-04-03:02,16,18,21
2018-04-03:03,10,17,23
2018-04-03:04,10,16,20
2018-04-03:05,10,15,21
2018-04-03:06,10,13,21
2018-04-03:07,10,13,20
2018-04-03:08,,13,24
2018-04-03:09,11,12,22
2018-04-03:10,11,11,25
2018-04-03:11,,11,21
2018-04-03:12,33,11,
2018-04-03:13,30,14,
2018-04-03:14,23,,29
2018-04-03:15,21,19,35
2018-04-03:16,25,20,37
2018-04-03:17,19,21,29
2018-04-03:18,17,21,24
2018-04-03:19,16,21,29
2018-04-03:20,18,20,30
2018-04-03:21,24,20,31
2018-04-03:22,37,21,27
2018-04-03:23,25,19,24
2018-04-03:24,13,17,26
2018-04-04:01,8,16,22
2018-04-04:02,7,17,21
2018-04-04:03,11,17,22
2018-04-04:04,14,16,20
2018-04-04:05,14,14,19
2018-04-04:06,,12,9
2018-04-04:07,5,10,
2018-04-04:08,3,6,15
2018-04-04:09,6,8,15
2018-04-04:10,10,12,21
2018-04-04:11,16,17,26
2018-04-04:12,16,19,22
2018-04-04:13,,18,19
2018-04-04:14,8,12,11
2018-04-04:15,5,9,10
2018-04-04:16,4,6,16
2018-04-04:17,3,4,14
2018-04-04:18,3,2,11
2018-04-04:19,4,2,8
2018-04-04:20,4,4,11
2018-04-04:21,2,4,9
2018-04-04:22,2,2,7
2018-04-04:23,2,2,9
2018-04-04:24,2,2,7
2018-04-05:01,1,1,5
2018-04-05:02,1,1,7
2018-04-05:03,4,2,6
2018-04-05:04,5,4,
2018-04-05:05,5,4,
2018-04-05:06,,2,
2018-04-05:07,3,2,
2018-04-05:08,3,2,
2018-04-05:09,3,1,
2018-04-05:10,2,1,
2018-04-05:11,1,1,
2018-04-05:12,2,2,
2018-04-05:13,5,4,
2018-04-05:14,5,3,
2018-04-05:15,3,2,
2018-04-05:16,1,2,
2018-04-05:17,2,2,4
2018-04-05:18,1,5,
2018-04-05:19,1,5,
2018-04-05:20,3,5,10
2018-04-05:21,5,5,
2018-04-05:22,4,5,10
2018-04-05:23,4,4,
2018-04-05:24,4,3,
2018-04-06:01,4,2,
2018-04-06:02,7,2,
2018-04-06:03,10,5,
2018-04-06:04,10,8,
2018-04-06:05,,10,
2018-04-06:06,8,10,
2018-04-06:07,7,10,
2018-04-06:08,,11,
2018-04-06:09,8,10,
2018-04-06:10,10,11,19
2018-04-06:11,14,15,24
2018-04-06:12,22,23,40
2018-04-06:13,25,28,33
2018-04-06:14,31,32,46
2018-04-06:15,36,38,
2018-04-06:16,38,42,
2018-04-06:17,35,38,
2018-04-06:18,30,33,38
2018-04-06:19,25,28,28
2018-04-06:20,21,24,29
2018-04-06:21,20,21,27
2018-04-06:22,26,23,27
2018-04-06:23,37,32,47
2018-04-06:24,43,40,59
2018-04-07:01,42,40,54
2018-04-07:02,36,34,31
2018-04-07:03,30,28,24
2018-04-07:04,37,21,16
2018-04-07:05,27,17,16
2018-04-07:06,16,16,19
2018-04-07:07,14,20,25
2018-04-07:08,16,22,30
2018-04-07:09,19,24,28
2018-04-07:10,18,24,24
2018-04-07:11,16,21,17
2018-04-07:12,17,20,19
2018-04-07:13,16,18,18
2018-04-07:14,14,15,13
2018-04-07:15,11,13,12
2018-04-07:16,10,10,8
2018-04-07:17,8,11,10
2018-04-07:18,8,12,10
2018-04-07:19,7,9,9
2018-04-07:20,9,9,10
2018-04-07:21,12,10,12
2018-04-07:22,13,10,16
2018-04-07:23,11,11,15
2018-04-07:24,10,12,13
2018-04-08:01,13,13,18
2018-04-08:02,30,13,18
2018-04-08:03,26,13,19
2018-04-08:04,17,14,14
2018-04-08:05,12,14,16
2018-04-08:06,12,14,13
2018-04-08:07,12,13,12
2018-04-08:08,12,15,15
2018-04-08:09,11,16,16
2018-04-08:10,12,16,18
2018-04-08:11,14,15,12
2018-04-08:12,14,13,10
2018-04-08:13,6,11,8
2018-04-08:14,3,10,11
2018-04-08:15,4,10,15
2018-04-08:16,7,11,13
2018-04-08:17,10,10,17
2018-04-08:18,12,10,19
2018-04-08:19,13,11,17
2018-04-08:20,14,14,16
2018-04-08:21,17,18,21
2018-04-08:22,21,21,27
2018-04-08:23,25,24,31
2018-04-08:24,28,27,37
2018-04-09:01,29,28,38
2018-04-09:02,32,31,35
2018-04-09:03,36,34,36
2018-04-09:04,39,36,39
2018-04-09:05,40,38,40
2018-04-09:06,40,38,41
2018-04-09:07,40,37,44
2018-04-09:08,41,37,46
2018-04-09:09,42,39,58
2018-04-09:10,37,42,57
2018-04-09:11,35,44,51
2018-04-09:12,36,43,46
2018-04-09:13,,37,39
2018-04-09:14,,29,34
2018-04-09:15,,24,
2018-04-09:16,23,,
2018-04-09:17,21,,30
2018-04-09:18,17,22,29
2018-04-09:19,12,21,30
2018-04-09:20,6,23,32
2018-04-09:21,15,28,32
2018-04-09:22,25,32,43
2018-04-09:23,34,32,41
2018-04-09:24,43,34,40
2018-04-10:01,46,36,37
2018-04-10:02,44,36,42
2018-04-10:03,40,38,37
2018-04-10:04,36,38,34
2018-04-10:05,35,37,40
2018-04-10:06,,33,30
2018-04-10:07,28,29,27
2018-04-10:08,24,25,22
2018-04-10:09,22,24,22
2018-04-10:10,26,23,21
2018-04-10:11,28,22,17
2018-04-10:12,22,21,19
2018-04-10:13,7,16,13
2018-04-10:14,1,13,13
2018-04-10:15,1,11,12
2018-04-10:16,1,9,13
2018-04-10:17,1,7,11
2018-04-10:18,1,6,11
2018-04-10:19,3,7,10
2018-04-10:20,4,6,11
2018-04-10:21,3,8,9
2018-04-10:22,2,8,8
2018-04-10:23,3,9,15
2018-04-10:24,6,10,12
2018-04-11:01,9,9,14
2018-04-11:02,12,10,18
2018-04-11:03,14,14,24
2018-04-11:04,17,17,24
2018-04-11:05,20,20,29
2018-04-11:06,23,25,36
2018-04-11:07,42,30,42
2018-04-11:08,43,36,51
2018-04-11:09,40,42,56
2018-04-11:10,40,48,59
2018-04-11:11,36,47,38
2018-04-11:12,27,38,36
2018-04-11:13,20,27,28
2018-04-11:14,13,22,27
2018-04-11:15,5,19,27
2018-04-11:16,4,13,18
2018-04-11:17,4,8,14
2018-04-11:18,4,5,13
2018-04-11:19,5,6,12
2018-04-11:20,6,7,11
2018-04-11:21,8,8,15
2018-04-11:22,9,9,13
2018-04-11:23,10,11,14
2018-04-11:24,11,11,17
2018-04-12:01,10,10,13
2018-04-12:02,13,10,12
2018-04-12:03,18,11,16
2018-04-12:04,19,11,14
2018-04-12:05,18,12,13
2018-04-12:06,16,12,14
2018-04-12:07,15,14,13
2018-04-12:08,18,16,15
2018-04-12:09,19,15,26
2018-04-12:10,17,15,25
2018-04-12:11,16,14,16
2018-04-12:12,23,14,14
2018-04-12:13,20,13,15
2018-04-12:14,11,10,11
2018-04-12:15,2,7,8
2018-04-12:16,1,5,10
2018-04-12:17,3,5,9
2018-04-12:18,6,5,9
2018-04-12:19,3,5,9
2018-04-12:20,4,4,9
2018-04-12:21,5,5,9
2018-04-12:22,6,7,11
2018-04-12:23,11,10,17
2018-04-12:24,14,12,14
2018-04-13:01,12,13,21
2018-04-13:02,13,12,22
2018-04-13:03,18,14,18
2018-04-13:04,22,16,20
2018-04-13:05,24,17,21
2018-04-13:06,25,17,26
2018-04-13:07,26,18,27
2018-04-13:08,28,19,31
2018-04-13:09,29,23,35
2018-04-13:10,34,28,42
2018-04-13:11,30,27,35
2018-04-13:12,21,21,8
2018-04-13:13,7,14,11
2018-04-13:14,1,9,10
2018-04-13:15,1,6,10
2018-04-13:16,1,5,10
2018-04-13:17,2,4,11
2018-04-13:18,2,4,11
2018-04-13:19,3,5,8
2018-04-13:20,5,7,9
2018-04-13:21,7,6,12
2018-04-13:22,7,7,8
2018-04-13:23,5,6,7
2018-04-13:24,6,6,9
2018-04-14:01,4,5,8
2018-04-14:02,3,4,11
2018-04-14:03,6,6,11
2018-04-14:04,9,8,10
2018-04-14:05,13,10,9
2018-04-14:06,18,10,12
2018-04-14:07,19,10,15
2018-04-14:08,16,9,12
2018-04-14:09,15,9,16
2018-04-14:10,15,9,21
2018-04-14:11,14,10,19
2018-04-14:12,13,11,18
2018-04-14:13,,10,15
2018-04-14:14,,10,7
2018-04-14:15,9,10,13
2018-04-14:16,8,10,10
2018-04-14:17,8,12,12
2018-04-14:18,10,15,13
2018-04-14:19,13,18,16
2018-04-14:20,14,19,12
2018-04-14:21,13,17,11
2018-04-14:22,15,18,19
2018-04-14:23,16,19,23
2018-04-14:24,16,16,16
2018-04-15:01,13,13,17
2018-04-15:02,12,11,16
2018-04-15:03,17,15,22
2018-04-15:04,22,19,29
2018-04-15:05,25,22,33
2018-04-15:06,26,24,33
2018-04-15:07,28,25,34
2018-04-15:08,28,26,29
2018-04-15:09,26,25,35
2018-04-15:10,24,23,27
2018-04-15:11,20,23,29
2018-04-15:12,16,22,21
2018-04-15:13,12,20,22
2018-04-15:14,9,16,19
2018-04-15:15,9,15,22
2018-04-15:16,10,15,27
2018-04-15:17,11,18,24
2018-04-15:18,11,19,19
2018-04-15:19,13,18,19
2018-04-15:20,15,17,18
2018-04-15:21,15,17,16
2018-04-15:22,16,17,18
2018-04-15:23,16,17,24
2018-04-15:24,17,17,21
2018-04-16:01,18,18,24
2018-04-16:02,21,22,28
2018-04-16:03,22,24,27
2018-04-16:04,25,22,29
2018-04-16:05,26,23,25
2018-04-16:06,26,25,27
2018-04-16:07,27,26,27
2018-04-16:08,30,29,37
2018-04-16:09,32,34,35
2018-04-16:10,33,38,41
2018-04-16:11,32,38,40
2018-04-16:12,27,39,41
2018-04-16:13,21,35,34
2018-04-16:14,19,29,30
2018-04-16:15,20,26,31
2018-04-16:16,,25,30
2018-04-16:17,,24,33
2018-04-16:18,27,28,35
2018-04-16:19,29,31,37
2018-04-16:20,33,32,36
2018-04-16:21,33,31,36
2018-04-16:22,29,28,35
2018-04-16:23,24,22,28
2018-04-16:24,22,20,27
2018-04-17:01,23,19,27
2018-04-17:02,28,22,46
2018-04-17:03,33,23,30
2018-04-17:04,34,24,32
2018-04-17:05,35,25,31
2018-04-17:06,37,27,32
2018-04-17:07,37,30,37
2018-04-17:08,39,33,36
2018-04-17:09,41,32,43
2018-04-17:10,41,35,49
2018-04-17:11,42,39,51
2018-04-17:12,38,38,45
2018-04-17:13,33,35,47
2018-04-17:14,26,32,38
2018-04-17:15,22,26,36
2018-04-17:16,19,22,34
2018-04-17:17,21,21,39
2018-04-17:18,22,24,35
2018-04-17:19,26,30,42
2018-04-17:20,27,30,41
