time,pm10,pm2.5
2018-04-30:24,63,34
2018-04-30:23,69,39
2018-04-30:22,68,47
2018-04-30:21,89,52
2018-04-30:20,83,30
2018-04-30:19,88,15
2018-04-30:18,85,9
2018-04-30:17,83,2
2018-04-30:16,84,1
2018-04-30:15,83,6
2018-04-30:14,,14
2018-04-30:13,198,25
2018-04-30:12,46,39
2018-04-30:11,54,32
2018-04-30:10,78,34
2018-04-30:09,67,30
2018-04-30:08,67,28
2018-04-30:07,67,30
2018-04-30:06,78,31
2018-04-30:05,72,33
2018-04-30:04,68,33
2018-04-30:03,80,33
2018-04-30:02,98,32
2018-04-30:01,91,28
2018-04-29:24,89,25
2018-04-29:23,82,21
2018-04-29:22,66,21
2018-04-29:21,50,28
2018-04-29:20,54,24
2018-04-29:19,51,8
2018-04-29:18,68,1
2018-04-29:17,58,0
2018-04-29:16,52,0
2018-04-29:15,33,2
2018-04-29:14,32,4
2018-04-29:13,36,5
2018-04-29:12,40,8
2018-04-29:11,33,10
2018-04-29:10,35,14
2018-04-29:09,27,14
2018-04-29:08,35,11
2018-04-29:07,34,11
2018-04-29:06,38,15
2018-04-29:05,38,24
2018-04-29:04,42,32
2018-04-29:03,52,18
2018-04-29:02,48,14
2018-04-29:01,51,11
2018-04-28:24,49,8
2018-04-28:23,42,6
2018-04-28:22,36,10
2018-04-28:21,49,20
2018-04-28:20,54,21
2018-04-28:19,51,2
2018-04-28:18,42,0
2018-04-28:17,36,0
2018-04-28:16,9,0
2018-04-28:15,8,3
2018-04-28:14,12,10
2018-04-28:13,14,
2018-04-28:12,29,24
2018-04-28:11,50,30
2018-04-28:10,55,30
2018-04-28:09,84,26
2018-04-28:08,66,25
2018-04-28:07,60,25
2018-04-28:06,61,28
2018-04-28:05,77,32
2018-04-28:04,82,37
2018-04-28:03,92,46
2018-04-28:02,117,49
2018-04-28:01,110,34
2018-04-27:24,96,33
2018-04-27:23,104,29
2018-04-27:22,103,24
2018-04-27:21,60,18
2018-04-27:20,65,10
2018-04-27:19,72,4
2018-04-27:18,61,12
2018-04-27:17,55,14
2018-04-27:16,56,17
2018-04-27:15,59,26
2018-04-27:14,48,31
2018-04-27:13,40,17
2018-04-27:12,45,17
2018-04-27:11,29,12
2018-04-27:10,28,11
2018-04-27:09,28,14
2018-04-27:08,28,14
2018-04-27:07,38,13
2018-04-27:06,36,15
2018-04-27:05,33,21
2018-04-27:04,31,
2018-04-27:03,37,
2018-04-27:02,72,43
2018-04-27:01,78,37
2018-04-26:24,58,35
2018-04-26:23,60,38
2018-04-26:22,60,38
2018-04-26:21,58,31
2018-04-26:20,47,19
2018-04-26:19,34,10
2018-04-26:18,51,6
2018-04-26:17,50,9
2018-04-26:16,33,15
2018-04-26:15,32,22
2018-04-26:14,48,26
2018-04-26:13,47,30
2018-04-26:12,31,
2018-04-26:11,39,39
2018-04-26:10,42,37
2018-04-26:09,43,41
2018-04-26:08,36,
2018-04-26:07,47,46
2018-04-26:06,53,45
2018-04-26:05,55,44
2018-04-26:04,62,42
2018-04-26:03,71,39
2018-04-26:02,63,37
2018-04-26:01,74,38
2018-04-25:24,47,40
2018-04-25:23,52,26
2018-04-25:22,48,25
2018-04-25:21,56,23
2018-04-25:20,56,18
2018-04-25:19,56,8
2018-04-25:18,62,3
2018-04-25:17,50,5
2018-04-25:16,40,11
2018-04-25:15,32,13
